fix_identifier,state,description
MARES,CONNECTICUT,CMK*D*138.00/14.00 41-08-33.0400N 073-19-54.0200W
MAREY,SOUTH DAKOTA,FSD*C*167.00 FSD*LS*SW CRS 43-33-12.8400N 096-46-18.9700W
MARFE,SOUTH CAROLINA,34-00-39.1500N 078-59-10.2500W
MARGI,WEST VIRGINIA,EKN*C*076.86 OUW*DD*015.11/6.10 38-59-13.4700N 079-50-40.1500W
MARGL,CALIFORNIA,ENI*C*022.14 39-07-22.5300N 123-12-14.4900W
MARGN,MICHIGAN,FNT*C*096.83/48.47 PHN*LS*347.93 42-56-59.1800N 082-38-49.1400W
MARGO,OREGON,CBU*T*286.00/35.00 BTG*C*269.73 45-55-45.9500N 123-17-14.5300W
MARGR,CALIFORNIA,SAC*C*241.26/18.96 38-22-43.4600N 121-56-42.3700W
MARIA,NEW YORK,ALB*C*299.05/19.00 42-50-02.7600N 074-13-00.5000W
MARIC,CALIFORNIA,EHF*C*195.82/17.04 AVE*D*109.00 35-14-15.4700N 119-16-10.9000W
MARIG,OFFSHORE ATLANTIC,38-19-42.4000N 070-03-34.2600W
MARII,OHIO,39-24-02.1700N 081-24-38.6300W
MARIS,INDIANA,GSH*C*089.90/7.00 41-31-31.0300N 085-52-21.5300W
MARJG,TENNESSEE,BNA*C* /1.76 VIY*LS*020.65 36-09-47.8400N 086-40-06.8900W
MARJO,SOUTH CAROLINA,CLT*D* /9.57 DQG*LS*182.96 35-01-51.5100N 080-56-10.6700W
MARKD,GEORGIA,BRU*LD*094.99/12.03 33-38-47.9600N 084-12-05.8700W
MARKE,COLORADO,DRO*D*235.00 RSK*C*351.10/18.50 37-03-21.2300N 108-03-52.8800W
MARKG,FLORIDA,27-56-09.3500N 080-21-23.3100W
MARKI,ARKANSAS,HOT*D*221.00/21.41 34-13-31.5400N 093-23-41.7400W
MARKK,HAWAII,21-28-41.8900N 158-02-16.7800W
MARKL,WYOMING,CYS*C*016.00/10.00 41-21-24.2800N 104-39-56.2300W
MARKM,WISCONSIN,42-47-07.4200N 089-45-01.1800W
MARKP,NEVADA,36-00-02.1100N 115-05-23.6500W
MARKT,FLORIDA,26-22-53.6300N 080-34-41.8200W
MARKX,ALASKA,OTZ*LD*268.88*W CRS/1.37 66-53-26.9500N 162-37-34.4500W
MARKZ,ARIZONA,DMA*T*305.98/17.00 32-22-14.3200N 111-06-17.4500W
MARLC,CALIFORNIA,SNS*C*314.00/18.40 36-55-56.0900N 121-47-19.0000W
MARLE,NORTH CAROLINA,NTU*T*201.00/49.00 36-01-16.6700N 076-13-44.8800W
MARLL,MISSISSIPPI,GPT*C*086.00/18.00 30-25-00.7100N 088-43-48.1200W
MARLN,TEXAS,ACT*C*110.00/32.10 CLL*C*334.00/50.14 31-24-04.5100N 096-43-20.4900W
MARLS,MONTANA,45-50-19.9500N 105-51-05.5100W
MARLY,MASSACHUSETTS,42-34-56.3800N 072-25-37.4100W
MARMN,ALASKA,58-11-33.9500N 134-13-11.2000W
MARMT,ALASKA,57-05-57.2900N 135-28-13.6800W
MARNA,CALIFORNIA,SNS*C*275.00/10.92 36-43-54.9200N 121-48-47.2800W
MARNB,NEVADA,38-02-47.6000N 117-04-22.7900W
MARND,CALIFORNIA,MQO*C*083.71/5.45 35-14-12.7000N 120-39-00.9500W
MARNE,TEXAS,29-51-06.2200N 098-12-10.3900W
MARNL,NEVADA,LLC*C*153.16/3.08 40-04-29.0200N 118-33-53.9900W
MARNN,UTAH,39-15-31.8800N 112-05-10.4000W
MARNR,WASHINGTON,48-02-19.9200N 122-50-59.6700W
MARNS,CALIFORNIA,34-25-38.2100N 119-49-21.5800W
MARNY,KENTUCKY,EWO*D*036.92/8.48 37-44-36.1800N 085-33-58.9400W
MAROA,ILLINOIS,CMI*C*260.00 AXC*C*348.01/14.32 39-58-24.3200N 088-54-17.8100W
MAROC,ILLINOIS,PIA*C*075.72/19.38 BDF*C*159.00 40-44-13.2400N 089-22-28.6900W
MAROE,MINNESOTA,43-51-21.9500N 092-58-11.5800W
MARPE,NEW MEXICO,34-26-00.0000N 103-34-00.0000W
MARPK,UTAH,MTU*D*010.13/8.23 40-16-27.6000N 110-03-13.5800W
MARPP,NEVADA,39-30-34.7200N 119-45-36.2100W
MARQE,MAINE,44-22-25.6600N 068-33-00.5600W
MARQO,FLORIDA,30-30-53.5700N 082-32-45.6200W
MARRA,ALABAMA,MGM*LS*277.01 32-18-40.9000N 086-30-38.3900W
MARRC,PENNSYLVANIA,LVZ*C*239.39 MIP*C*116.50/20.68 LRP*D*012.24 40-55-07.9900N 076-13-54.2200W
MARRG,MONTANA,CPN*D*096.68/10.00 45-58-03.1300N 112-31-37.4400W
MARRI,CALIFORNIA,SWR*D*117.00/36.55 FMG*C*166.57/46.09 38-45-47.2100N 119-42-00.3100W
MARRK,WASHINGTON,YKM*C*087.00/20.85 MWH*D*193.00 46-27-42.7700N 119-57-59.2200W
MARRP,CALIFORNIA,SLI*C*262.31 LAX*C*135.00/8.20 33-48-52.3700N 118-20-59.9700W
MARRS,CALIFORNIA,39-23-59.2900N 123-20-13.7200W
MARRT,NEW JERSEY,40-36-25.0300N 074-37-12.9700W
MARRV,CALIFORNIA,35-40-31.0000N 121-27-39.0000W
MARRY,MARYLAND,39-34-16.7500N 076-18-44.5700W
MARSA,LOUISIANA,BPT*D*113.33/14.99 SBI*D*053.52/16.17 BPT*LD*115.96/14.54 29-49-09.7300N 093-46-05.9300W
MARSC,ALASKA,61-55-19.7100N 145-39-43.2800W
MARSH,VIRGINIA,CSN*C*055.00/20.00 38-51-35.0000N 077-32-36.4600W
MARSI,ALASKA,SMA*R*133.23 BET*C*324.41/40.00 61-24-07.3700N 162-20-04.4700W
MARSL,GEORGIA,33-50-48.2700N 085-07-37.3500W
MARSN,TEXAS,32-59-59.3800N 097-14-24.0300W
MARSP,INDIANA,DQN*D*291.47/25.84 40-09-57.6000N 084-55-23.8800W
MARSS,NEBRASKA,ANW*D*248.14/28.00 TDD*D*001.00 42-27-48.9200N 100-36-15.3200W
MARST,ALABAMA,MGM*C*045.43/18.81 EUF*C*299.99 32-25-49.3900N 086-02-33.6600W
MARSY,MAINE,44-41-58.8800N 068-38-54.6000W
MARTA,LOUISIANA,EIC*C*159.00/60.35 AEX*C*298.72/61.53 31-47-34.8300N 093-31-27.9100W
MARTH,VIRGINIA,PSK*C*211.13/10.00 36-56-11.7200N 080-48-04.2700W
MARTI,OFFSHORE PACIFIC,03-30-00.0000N 169-16-30.0000E
MARTN,MASSACHUSETTS,CAM*D*186.51/25.00 ALB*C*125.74/25.60 42-34-51.7700N 073-16-13.7200W
MARTS,FLORIDA,PBI*C*175.28 DHP*C*051.58/25.70 FLL*D*090.19/9.16 26-05-21.6100N 079-59-52.0200W
MARTZ,OHIO,APE*C*235.11 MXQ*D*099.19 CVG*C*067.00/53.99 39-25-13.0500N 083-40-07.4300W
MARUE,NEVADA,35-15-23.0000N 114-52-55.0000W
MARVB,INDIANA,41-16-25.2500N 085-50-51.0500W
MARVE,MISSISSIPPI,31-32-08.5000N 090-23-42.3000W
MARVI,FLORIDA,28-38-21.8300N 082-15-23.3200W
MARVL,NORTH CAROLINA,EWN*D*232.59/21.44 ISO*C*167.72/34.69 NCA*T*042.00/8.00 34-49-04.1900N 077-20-59.0800W
MARVN,ALASKA,ILI*RD*049.31/11.83 59-50-09.4800N 154-33-37.7200W
MARVO,ALABAMA,32-34-33.5900N 085-12-57.3900W
MARVY,TEXAS,PSX*C*054.00/17.00 28-53-50.8800N 096-01-16.1400W
MARWI,IOWA,STJ*C*343.58/49.55 OVR*C*119.99/37.73 LMN*D*275.40/52.12 40-46-40.9500N 095-05-04.0300W
MARXN,NEBRASKA,40-04-30.6800N 096-34-40.7000W
MARXS,TEXAS,LBB*C*110.00/22.00 33-30-55.0100N 101-32-17.5700W
MARXY,MINNESOTA,46-09-50.9300N 094-27-52.3500W
MARYB,FLORIDA,EXO*LD*072.71/7.34 28-35-24.5300N 081-12-52.6600W
MARYD,FLORIDA,25-54-00.0000N 080-16-00.0000W
MARYE,TEXAS,ABI*C*337.00/20.00 32-48-24.4100N 099-57-08.7000W
MARYJ,SOUTH DAKOTA,TST*D*333.00/36.17 43-08-37.1400N 103-30-40.8200W
MARYN,HAWAII,21-05-55.4400N 158-15-31.8600W
MARYV,OKLAHOMA,34-23-17.2300N 097-06-59.5700W
MARYY,ALASKA,55-04-58.8000N 131-10-06.0800W
MARZH,NEBRASKA,42-56-10.1700N 101-58-22.4200W
MARZY,TEXAS,MHF*D*253.90 EFD*T* /7.08 EFD*LS*173.84 29-29-15.7400N 095-09-40.9300W
MARZZ,ALABAMA,34-46-29.8500N 086-51-03.2100W
MASAE,HAWAII,21-28-47.7200N 157-25-45.0800W
MASBI,COLORADO,39-21-50.9400N 107-03-59.1700W
MASBY,WISCONSIN,43-43-18.9200N 091-10-32.6300W
MASDE,PENNSYLVANIA,40-31-16.2500N 078-53-40.1000W
MASDL,IDAHO,HLE*RD*334.76/4.95 43-24-37.5000N 114-16-03.6700W
MASEE,NEW JERSEY,39-29-19.8800N 074-49-27.9800W
MASEY,MICHIGAN,MTC*T*005.18/5.73 MTC*LS*007.47 42-42-30.1800N 082-50-01.0400W
MASFY,ILLINOIS,39-22-15.5000N 087-55-53.4700W
MASGE,CALIFORNIA,34-25-41.4900N 119-49-16.7700W
MASGT,OHIO,39-15-47.2700N 084-46-27.0600W
MASGV,GEORGIA,34-27-02.4100N 084-56-21.7900W
MASHA,ALABAMA,34-25-08.5200N 086-55-48.3900W
MASHB,IOWA,43-22-22.7500N 091-41-03.7100W
MASHD,COLORADO,39-12-55.8300N 104-33-49.3000W
MASHH,MISSISSIPPI,34-43-05.5100N 089-15-43.7000W
MASHI,NORTH CAROLINA,35-58-17.9000N 080-23-04.7100W
MASIE,UTAH,TCH*C*160.85/20.13 PVU*D*314.00/21.00 FFU*C*340.87/14.42 40-30-53.8800N 111-57-27.7700W
MASKE,OKLAHOMA,34-44-35.6100N 095-59-49.2700W
MASKN,IDAHO,42-42-57.5900N 114-28-01.3800W
MASKY,MASSACHUSETTS,41-41-31.2400N 070-23-08.0700W
MASNE,NEW HAMPSHIRE,42-53-23.9900N 071-36-59.2600W
MASNS,ALASKA,64-41-32.3000N 157-30-50.5800W
MASOE,OKLAHOMA,35-14-26.6700N 094-47-56.8700W
MASPE,VERMONT,44-28-11.4700N 072-52-22.6800W
MASPY,MISSISSIPPI,32-06-26.5500N 089-58-22.1800W
MASSD,COLORADO,38-51-37.8900N 104-31-56.7300W
MASSH,IDAHO,43-13-42.1100N 115-36-41.4300W
MASSN,DIST. OF COLUMBIA,38-52-36.0000N 077-02-30.0000W
MASST,MAINE,44-09-53.1300N 068-48-01.1200W
MASSY,VIRGINIA,37-22-09.7000N 079-54-05.9700W
MASTI,NEW YORK,DPK*D*107.49 CCC*D*221.61/11.38 40-45-46.6600N 072-55-06.1300W
MASTR,NEVADA,39-36-06.8600N 119-44-32.9000W
MASTY,TEXAS,UKW*C*014.63/11.72 CVE*D*314.00/65.00 33-43-08.3200N 097-44-19.6200W
MASUE,NEVADA,39-12-10.0100N 119-46-11.9500W
MASVE,ARIZONA,33-21-18.7400N 111-55-11.3200W
MASWE,MINNESOTA,DLH*C*094.93/7.00 46-46-54.9500N 092-02-08.3400W
MASZU,MISSOURI,FAM*C*055.62/18.50 37-50-34.2000N 089-54-32.3800W
MATAE,HAWAII,21-08-47.2800N 158-00-57.4100W
MATAG,IOWA,TNU*D* /13.09 MGX*LS*141.22 41-36-11.8000N 092-56-44.1000W
MATAN,INDIANA,TTH*C*062.17/15.24 39-35-57.4900N 086-57-11.9100W
MATAW,TENNESSEE,35-36-02.5900N 086-45-58.6200W
MATBD,OHIO,APE*C*022.00/10.97 40-19-37.0600N 082-31-20.6100W
MATCB,KANSAS,39-00-19.1100N 095-12-44.7900W
MATCG,WISCONSIN,44-52-24.8000N 091-28-21.7000W
MATCH,TEXAS,DYS*T*263.00/20.00 32-24-22.4600N 100-15-01.9500W
MATCK,NEW YORK,43-03-55.2200N 076-02-00.5400W
MATCN,TENNESSEE,35-00-44.7500N 087-04-47.5200W
MATEC,MINNESOTA,DLH*C*287.79/7.00 46-50-50.0900N 092-21-34.4100W
MATEE,CALIFORNIA,37-54-22.1400N 119-56-46.4400W
MATEO,FLORIDA,CRG*C*178.08/34.36 29-46-00.7100N 081-27-12.6000W
MATEY,MICHIGAN,42-12-40.5700N 085-35-23.1000W
MATHA,TEXAS,MMB*C*196.59/15.59 36-06-39.4800N 100-01-25.1700W
MATHE,PENNSYLVANIA,41-48-53.9000N 079-06-00.1000W
MATHS,IOWA,41-07-14.5000N 092-34-24.1100W
MATHU,SOUTH CAROLINA,SSC*T*216.00/25.00 33-39-31.5500N 080-43-28.2200W
MATHW,NEW YORK,40-57-19.1100N 072-29-37.9300W
MATIE,ARKANSAS,34-05-41.9600N 092-33-02.3500W
MATKB,GEORGIA,31-00-12.5500N 084-52-50.2600W
MATKL,GEORGIA,AHN*D*070.00/26.44 34-05-51.2300N 082-49-34.0900W
MATKN,GEORGIA,32-30-40.1500N 084-56-43.2100W
MATLE,TEXAS,31-48-18.5000N 106-09-07.9200W
MATLG,NEW YORK,42-12-08.8100N 075-58-22.3000W
MATLK,FLORIDA,27-49-36.5400N 080-57-04.2700W
MATLL,FLORIDA,30-42-44.9000N 081-48-42.8400W
MATLR,NEVADA,35-51-06.9200N 115-13-41.3900W
MATME,GEORGIA,34-08-40.8200N 083-39-03.5900W
MATNY,FLORIDA,26-31-49.0400N 082-04-27.6100W
MATOE,ALASKA,57-47-02.5100N 152-15-06.3500W
MATON,TEXAS,IAH*LD*266.94/5.62 29-59-35.7600N 095-27-59.3100W
MATOW,KANSAS,37-57-55.8500N 097-07-49.0200W
MATOX,VIRGINIA,RIC*C*223.45/16.29 HPW*C*267.00 37-16-40.7400N 077-30-46.0500W
MATRL,IDAHO,46-38-46.1800N 116-53-18.7400W
MATRX,CALIFORNIA,34-20-14.7800N 118-30-06.3600W
MATRY,KANSAS,38-33-08.1300N 098-21-54.0200W
MATSS,TEXAS,27-48-14.9700N 097-43-09.9900W
MATTA,ALASKA,TED*D*009.53 BGQ*C*053.71/16.00 61-38-50.7900N 149-26-00.3900W
MATTC,VIRGINIA,39-14-22.7500N 077-34-31.8800W
MATTE,TEXAS,LRD*C*115.00/22.00 27-16-21.7300N 099-04-35.5300W
MATTO,VIRGINIA,37-24-44.3600N 078-33-03.7700W
MATTR,NEW YORK,JOC*LD*041.24/5.12 40-43-35.8200N 073-42-35.0100W
MATTS,TEXAS,36-07-15.1200N 101-14-31.5700W
MATTT,FLORIDA,DWG*T*019.00/6.40 30-34-45.5500N 086-28-50.2900W
MATTU,COLORADO,37-14-37.3800N 107-39-24.3200W
MATTY,NEW YORK,HTO*C*307.54 FOK*LD*055.52/11.37 40-58-23.1500N 072-28-24.1600W
MATTZ,MISSOURI,BQS*D*234.00/20.29 ANX*C*339.00 39-26-44.1900N 094-14-29.2600W
MATUE,MASSACHUSETTS,41-28-13.0100N 070-34-57.5400W
MATZO,UTAH,EHK*D*180.55/33.83 MMM*C*043.17/56.25 BCE*C*225.36 37-14-45.9100N 113-16-09.4800W
MAUCK,NEW JERSEY,39-07-47.6400N 074-47-48.9100W
MAUDD,KENTUCKY,EWO*D*069.32/27.42 IIU*C*131.05/28.46 37-47-04.6600N 085-07-59.3800W
MAUDE,NEW YORK,CCC*D*279.00/25.00 40-54-01.7500N 073-20-50.5200W
MAUDY,MARYLAND,BAL*C*256.27 ASO*DD*329.00/10.00 38-59-00.7000N 077-10-47.2800W
MAUER,MINNESOTA,44-46-54.1800N 093-15-51.4200W
MAUGA,FLORIDA,30-19-02.7300N 081-52-29.4100W
MAULA,HAWAII,21-03-36.0100N 157-00-32.8500W
MAULL,PENNSYLVANIA,PSB*C*280.74/60.79 JHW*D*194.09 40-55-17.9300N 079-19-44.9900W
MAULS,VIRGINIA,37-52-49.3600N 079-19-49.1900W
MAULT,ILLINOIS,42-25-36.6100N 087-37-23.6800W
MAUME,ARKANSAS,HOT*D*034.00 LIT*C*288.05/29.07 34-51-59.4200N 092-43-20.6000W
MAURK,CALIFORNIA,34-21-23.6000N 118-41-39.0000W
MAVBC,WISCONSIN,42-55-52.6100N 087-53-51.6900W
MAVBE,PENNSYLVANIA,40-07-41.7200N 076-37-23.5300W
MAVBL,FLORIDA,NIP*T*191.00/6.00 30-08-05.9800N 081-41-06.3800W
MAVCL,ALABAMA,32-18-09.2500N 086-24-36.1300W
MAVDC,ALABAMA,31-51-29.8800N 086-01-19.9000W
MAVDE,CONNECTICUT,HFD*D*334.12/7.12 41-44-00.3500N 072-38-48.6400W
MAVDR,GEORGIA,32-11-39.8900N 082-21-52.8400W
MAVEE,FLORIDA,NSE*T*232.00/1.40 30-42-32.3000N 087-02-19.6400W
MAVER,OREGON,UBG*D*111.12/21.25 BTG*C*160.00/37.97 45-06-54.3000N 122-36-25.6700W
MAVGD,HAWAII,HNL*C*217.05/0.80 21-17-57.7600N 157-56-27.7000W
MAVGK,HAWAII,19-43-03.8800N 156-02-52.1200W
MAVGN,HAWAII,MKK*C*066.44/3.78 21-09-06.6700N 157-06-05.7800W
MAVHI,TEXAS,27-44-01.5300N 098-01-14.3800W
MAVIE,PUERTO RICO,18-03-09.0000N 065-33-05.0000W
MAVJO,MASSACHUSETTS,42-09-06.3800N 071-17-51.8600W
MAVKC,CALIFORNIA,37-26-46.1400N 122-25-20.3000W
MAVKL,ALABAMA,30-17-22.3700N 087-40-25.4900W
MAVKN,GEORGIA,32-05-57.7300N 082-41-40.3700W
MAVKP,HAWAII,21-59-40.7400N 159-19-31.5000W
MAVLB,HAWAII,21-56-58.6200N 159-19-53.9800W
MAVLL,GEORGIA,31-47-07.4700N 081-38-33.1800W
MAVLY,MICHIGAN,44-43-35.3600N 085-16-53.2200W
MAVNE,SOUTH CAROLINA,32-46-29.1700N 079-46-29.4200W
MAVNK,GEORGIA,SSI*C*037.12/1.47 31-04-16.1200N 081-25-49.1500W
MAVNN,MAINE,45-05-10.0100N 069-12-09.1400W
MAVPE,PENNSYLVANIA,41-14-28.2800N 079-25-35.9400W
MAVPK,ALABAMA,34-45-01.8300N 087-36-58.4600W
MAVPL,GEORGIA,AHN*D*199.01/21.00 33-36-57.6100N 083-27-40.5500W
MAVRC,GEORGIA,32-37-49.8700N 081-49-20.7300W
MAVRE,ARKANSAS,34-32-15.3700N 091-34-51.9200W
MAVRK,TEXAS,DLF*C*132.25/5.00 29-17-51.3000N 100-42-34.1200W
MAVTE,,08-41-42.7500N 167-39-03.4100E
MAVUE,ALASKA,61-35-01.0900N 149-06-09.6900W
MAVVA,ARIZONA,GBN*C*103.24/76.31 TFD*C*125.02/42.46 TUS*C*295.00/27.00 32-21-57.1400N 111-20-21.0200W
MAVVS,TEXAS,33-00-44.3100N 096-53-55.6700W
MAVVV,,42-38-41.8200N 081-48-36.5700W
MAWBU,TENNESSEE,36-13-13.4800N 088-04-09.4300W
MAWGO,TEXAS,35-14-36.9700N 101-31-45.7800W
MAWLD,ALASKA,57-44-43.1600N 152-29-19.2900W
MAWLY,OFFSHORE ATLANTIC,20-09-24.6400N 065-59-24.8100W
MAWNO,KANSAS,TKO*C*209.80/23.00 39-30-40.3700N 098-34-37.4500W
MAWOC,WISCONSIN,MTW*OD* /4.37 MTW*LS*351.98 44-11-59.8200N 087-41-59.7000W
MAWRE,OHIO,41-32-53.5600N 082-54-17.4000W
MAWVU,KANSAS,37-57-25.8000N 096-44-41.7100W
MAXAY,ILLINOIS,BRL*D*076.97 GBG*OD* /11.82 GBG*LS*210.17 40-45-45.4900N 090-33-17.6600W
MAXEE,KANSAS,RNI*LD*274.12/17.21 39-19-04.4900N 095-03-25.3700W
MAXEY,ALABAMA,MXF*T*329.00/35.00 32-53-42.0500N 086-41-36.9500W
MAXIE,IOWA,TNU*D*295.84/20.00 41-56-38.4600N 093-30-00.8700W
MAXIF,NORTH CAROLINA,35-39-30.1700N 077-01-44.2400W
MAXIM,FLORIDA,FIS*R*234.91 24-00-00.0000N 082-31-07.7300W
MAXJO,TEXAS,29-58-39.2900N 095-20-53.9100W
MAXKA,CALIFORNIA,36-14-10.2100N 119-34-25.4000W
MAXMA,WISCONSIN,44-52-09.4000N 090-17-14.2100W
MAXME,VIRGINIA,PSK*C*246.71/15.08 BLF*D*157.01 36-57-51.1600N 080-59-11.2100W
MAXMS,IDAHO,44-29-51.7000N 116-33-19.8900W
MAXOE,NEBRASKA,40-54-10.8600N 096-45-41.1000W
MAXON,LOUISIANA,LCH*C*056.97/35.43 LFT*C*292.55 30-23-59.2300N 092-29-31.1800W
MAXTN,NORTH CAROLINA,MEB*LS*233.80 MEB*LS 34-43-58.5500N 079-26-36.5300W
MAXXO,NEW MEXICO,CNX*C*259.12/50.61 ONM*C*048.76/6.98 34-23-38.3200N 106-41-47.7800W
MAXXX,WISCONSIN,VOK*T*180.00/11.00 DLL*C*297.28/24.95 43-45-34.1400N 090-15-32.5700W
MAXXY,TENNESSEE,36-11-46.6700N 086-52-55.8600W
MAYAG,,GTK*C*307.68/32.00 21-42-17.6900N 071-37-55.1400W
MAYAN,SOUTH CAROLINA,34-39-12.2000N 081-59-35.2500W
MAYAR,GEORGIA,SAV*C*295.02/18.05 ALD*V*196.00 32-14-38.6200N 081-32-03.9600W
MAYAS,TEXAS,34-27-20.8200N 103-02-33.6200W
MAYBN,NEW JERSEY,CYN*C*220.99 PVO*LD*307.99/4.39 39-29-59.4300N 074-40-39.0200W
MAYCE,TEXAS,30-39-52.9500N 096-16-48.2900W
MAYED,INDIANA,38-57-41.8000N 085-51-12.8700W
MAYER,MINNESOTA,GEP*C*236.12/29.01 DWN*C*109.33/22.79 44-55-04.7700N 093-58-29.0800W
MAYES,ALABAMA,GAD*D*089.00/13.11 RMG*C*251.15/36.78 33-58-20.3200N 085-49-15.3400W
MAYFO,CALIFORNIA,38-26-17.1000N 122-46-16.8400W
MAYFY,TEXAS,EWM*C*079.00 HUP*C*330.00 31-56-17.6900N 105-31-01.7800W
MAYGN,KANSAS,39-03-52.2500N 099-46-25.8000W
MAYGY,UTAH,FFU*C*109.94/12.38 PVU*D*166.00 40-09-12.7200N 111-43-21.7800W
MAYHL,TEXAS,30-17-20.7200N 097-41-24.4100W
MAYHU,KENTUCKY,HXW*T*329.00/16.00 36-54-06.8200N 087-40-16.1900W
MAYHW,ALASKA,59-48-11.9400N 159-16-08.9700W
MAYIS,IOWA,41-05-33.3500N 093-06-43.6900W
MAYJI,OKLAHOMA,TUL*C*097.00/40.00 36-01-15.1100N 094-59-39.3300W
MAYKO,OFFSHORE ATLANTIC,ZFP*D*215.45/25.00 26-12-08.7600N 078-56-47.3300W
MAYKR,NORTH CAROLINA,36-27-56.7200N 077-50-34.3500W
MAYLE,ALABAMA,JFX*LD*092.86/6.11 33-53-55.9400N 087-12-01.6500W
MAYMA,NEW YORK,40-39-27.8600N 073-50-14.7400W
MAYMI,TEXAS,33-07-39.2900N 096-49-10.6900W
MAYNR,FLORIDA,DHP*C*195.94/59.91 24-49-11.4000N 080-34-34.0400W
MAYON,CALIFORNIA,POM*C*225.00 AOD*LS*W CRS 34-03-23.3600N 117-49-57.3900W
MAYOR,NEW JERSEY,CYN*C*349.10 RBV*C*235.84/6.00 40-07-57.5200N 074-35-18.8300W
MAYOS,NORTH CAROLINA,GSO*C*359.69/16.86 CLT*D*039.14/82.52 SBV*C*251.56 LIB*C*331.93/36.06 36-19-35.6500N 079-59-47.2900W
MAYPO,ALASKA,FYU*C*209.00/25.00 66-17-59.6700N 146-03-19.5200W
MAYSA,ARIZONA,34-34-01.7700N 112-52-48.4600W
MAYSE,WISCONSIN,43-10-14.1800N 089-42-46.5200W
MAYTA,MASSACHUSETTS,41-39-59.9400N 070-45-10.9500W
MAYUR,INDIANA,41-43-22.7700N 086-12-35.2300W
MAYYO,VIRGINIA,38-18-25.8000N 077-28-20.3200W
MAYYR,FLORIDA,29-55-03.1000N 082-10-50.9000W
MAYZE,OHIO,DJB*D*279.57/68.00 CRL*D*197.30/37.71 41-26-18.6800N 083-39-50.6600W
MAZAT,ALASKA,70-04-51.8400N 148-52-41.7100W
MAZBE,NEVADA,39-57-59.2000N 118-40-26.8500W
MAZDA,ARIZONA,FLG*D*056.00/17.01 INW*C*278.00/29.36 35-14-38.0700N 111-20-55.8800W
MAZEE,MICHIGAN,44-58-55.3200N 085-12-04.5000W
MAZEL,FLORIDA,27-01-33.6500N 079-56-18.9800W
MAZES,TEXAS,32-33-29.5100N 099-08-30.0400W
MAZIE,PENNSYLVANIA,SBJ*D*237.25/23.00 ARD*D*304.01/10.16 40-19-19.5500N 075-06-35.2800W
MAZKO,VIRGINIA,GVE*C*040.01/17.97 38-15-43.1900N 077-56-25.0300W
MAZKY,OHIO,40-59-22.2400N 083-25-13.3100W
MAZON,VIRGINIA,HPW*C*205.48/36.37 36-45-23.2400N 077-22-02.9100W
MAZOO,MARYLAND,38-44-17.2700N 076-52-57.2100W
MAZPI,MINNESOTA,GPZ*D*105.86/7.00 47-07-12.2900N 093-19-48.0200W
MAZTT,WISCONSIN,GRB*LD*088.58 SGZ*LS*181.92 44-26-41.8400N 088-08-00.8200W
MAZZA,OFFSHORE PACIFIC,11-42-32.0000N 180-00-00.0000W
MAZZY,FLORIDA,27-07-02.2800N 081-32-01.9000W
MBARI,CALIFORNIA,36-01-37.0900N 120-34-38.2700W
MBELL,KENTUCKY,37-38-42.6100N 085-39-54.9500W
MBEMA,VERMONT,44-03-05.4800N 073-00-32.2700W
MBRTO,TEXAS,33-44-42.8300N 098-33-10.4200W
MCADM,NEW HAMPSHIRE,43-32-44.8400N 072-13-39.3400W
MCANN,NEW YORK,42-57-28.1600N 077-25-39.7300W
MCART,,42-17-26.0100N 082-53-27.6100W
MCBRD,TEXAS,28-39-04.6600N 097-43-15.4800W
MCCAB,NEW YORK,40-45-27.4200N 073-07-49.1700W
MCCAL,TEXAS,31-02-00.0100N 095-22-27.2400W
MCCOY,OREGON,UBG*D*183.19/17.44 SLE*LD*313.08/11.69 45-05-16.6900N 123-08-46.7200W
MCCUL,WASHINGTON,CVV*D*245.45 NUW*T*227.99/20.00 48-13-06.6300N 123-07-01.5600W
MCDEE,ILLINOIS,39-33-06.0000N 090-54-56.0000W
MCDEN,ALABAMA,VUZ*C*162.03 BHM*LS*238.47 33-30-42.7900N 086-50-45.4300W
MCDON,VIRGINIA,36-40-29.5600N 079-00-52.0300W
MCDWL,TEXAS,30-17-31.4700N 095-31-24.3900W
MCFEE,KENTUCKY,HYK*D*251.06/20.43 IIU*C*112.99/36.32 37-51-18.0100N 084-52-44.9400W
MCFLY,OFFSHORE PACIFIC,19-39-29.0000N 162-41-58.0000W
MCGEE,MISSISSIPPI,MCB*C*356.57/25.00 31-43-19.2300N 090-15-42.7000W
MCGHE,MISSISSIPPI,MYO*LD*180.00/6.63 34-56-27.6200N 089-58-14.4100W
MCGIL,NEVADA,ELY*D*359.00/6.76 39-24-28.7900N 114-48-56.1700W
MCGNS,WEST VIRGINIA,38-29-11.5400N 082-09-32.6300W
MCGYR,FLORIDA,29-11-32.5400N 080-57-06.4900W
MCHAL,ALASKA,57-04-09.1900N 135-36-06.1300W
MCHEL,VIRGINIA,37-13-23.2300N 079-29-05.3900W
MCHGN,MICHIGAN,42-39-03.8400N 083-23-31.3800W
MCHLL,KENTUCKY,37-45-43.6600N 086-12-17.4100W
MCHLN,SOUTH CAROLINA,34-14-12.3800N 081-58-43.5100W
MCHNE,CALIFORNIA,33-53-47.2900N 116-31-59.0400W
