fix_identifier,state,description
ACIRA,MICHIGAN,HJT*LD*215.68/19.52 41-56-34.5800N 083-34-25.8000W
ACIRI,ALASKA,67-48-43.2500N 164-45-01.2000W
ACISA,INDIANA,FWA*C*234.00/12.50 40-50-21.8300N 085-23-31.3500W
ACITO,ILLINOIS,41-23-55.0000N 088-11-00.0000W
ACITU,WYOMING,44-26-20.9000N 105-33-53.2600W
ACIVE,ALASKA,60-33-59.6000N 161-56-34.7400W
ACIVU,TEXAS,28-55-33.5200N 095-35-12.6300W
ACIWA,MISSOURI,37-05-34.1100N 090-18-54.4600W
ACIWY,ILLINOIS,38-09-47.2600N 089-11-20.3000W
ACIYO,CALIFORNIA,36-28-30.3400N 121-26-24.7200W
ACIYU,INDIANA,39-49-35.0800N 085-49-02.4000W
ACKEE,TENNESSEE,35-11-03.9600N 087-50-03.2400W
ACKEG,NEBRASKA,42-26-13.1800N 096-58-24.9300W
ACKEX,NEW YORK,41-31-22.8600N 073-59-12.2700W
ACKLE,TEXAS,28-55-29.0700N 095-27-42.6200W
ACKLI,FLORIDA,30-21-53.8800N 081-27-10.2200W
ACKLY,IOWA,OTM*D*070.55/21.00 IOW*D*201.00 41-06-33.8600N 091-52-37.8100W
ACKME,TEXAS,SPS*C*090.12/46.48 UKW*C*015.00/20.00 33-50-51.2400N 097-40-40.2700W
ACLAC,SOUTH CAROLINA,35-07-36.7900N 081-11-58.5400W
ACLAM,ARIZONA,MMM*C*180.00 LAS*LD/31.52 36-04-30.3300N 114-31-21.3100W
ACLIK,IOWA,42-31-49.7400N 095-27-20.5000W
ACLIM,NEW JERSEY,39-42-39.2200N 075-00-57.5400W
ACLIN,TEXAS,KSY*T*152.00/8.00 SAT*C*176.19/27.71 29-10-56.3100N 098-29-59.5300W
ACLOB,OREGON,OED*C*098.00/31.47 42-14-22.7600N 122-17-01.7900W
ACMAN,TENNESSEE,35-04-08.6700N 085-34-48.9400W
ACMEE,OFFSHORE ATLANTIC,22-10-27.7600N 075-03-22.9700W
ACMES,ALABAMA,30-55-27.1300N 088-22-10.8200W
ACMIE,NEW MEXICO,34-56-56.1700N 106-40-29.6000W
ACMOD,FLORIDA,28-22-11.8800N 080-46-37.0200W
ACMOF,FLORIDA,28-53-05.8100N 081-53-33.4600W
ACNOP,MICHIGAN,42-56-19.6000N 085-10-56.6800W
ACOBI,VIRGINIA,38-55-23.6500N 078-14-00.4000W
ACOCO,WISCONSIN,43-47-38.7900N 091-13-59.5400W
ACOCU,PENNSYLVANIA,LRP*D*139.42/0.58 40-06-49.2900N 076-16-54.1600W
ACODI,NEW MEXICO,36-44-29.8700N 108-13-01.4800W
ACOKO,OKLAHOMA,36-20-39.1700N 097-05-19.5000W
ACOLA,TEXAS,29-27-35.5800N 095-30-18.4200W
ACOLU,WISCONSIN,43-13-45.0000N 088-49-50.9000W
ACOMA,NEW MEXICO,ONM*C*305.00 ABQ*C*239.79/31.29 34-53-15.7400N 107-25-18.5600W
ACONI,OREGON,43-28-50.2600N 123-19-50.8300W
ACONU,TEXAS,PSX*C*120.01/2.50 28-44-19.2500N 096-16-07.7300W
ACONY,OFFSHORE ATLANTIC,18-55-38.5200N 066-28-38.8100W
ACOPA,MASSACHUSETTS,42-18-34.7200N 071-23-50.7400W
ACORD,WASHINGTON,HUH*C*148.82/9.46 YVR*D*107.98/29.84 48-47-26.9100N 122-31-58.6500W
ACORE,ILLINOIS,TOY*C*202.71 CPS*LS*SE CRS 38-31-15.8300N 090-03-29.7100W
ACORI,ALABAMA,31-46-23.3600N 085-51-29.5100W
ACORO,SOUTH CAROLINA,34-34-33.2300N 079-28-11.5000W
ACOSA,VIRGINIA,38-36-30.0700N 079-03-17.6100W
ACOSI,UTAH,PGA*D*326.60/12.00 37-07-07.3500N 111-32-04.5900W
ACOSU,MINNESOTA,43-37-24.3900N 094-18-34.9700W
ACOTI,INDIANA,40-38-41.8100N 086-03-06.7500W
ACOTO,NORTH CAROLINA,35-50-08.6300N 076-44-44.2800W
ACOTY,OREGON,44-24-15.5100N 123-18-28.6500W
ACOVE,NEW YORK,DNY*D*095.99/41.39 ALB*C*211.35/32.37 42-14-05.2200N 074-01-54.5900W
ACOVO,MISSISSIPPI,33-20-26.8400N 088-50-45.0200W
ACOVY,NEVADA,FMG*C*305.94/25.18 39-51-41.4600N 119-59-31.4200W
ACOYU,VIRGINIA,37-02-40.8300N 076-28-33.9300W
ACRAN,ALASKA,SQA*D*248.76/25.00 61-04-20.5800N 156-29-27.2100W
ACRAT,CALIFORNIA,FIM*C*195.08/9.65 CMA*D*072.18/5.77 VTU*D*014.99 34-13-01.9200N 118-58-42.7100W
ACRDI,OKLAHOMA,35-11-41.6600N 097-35-19.5500W
ACRES,NEW MEXICO,HMN*T*137.00/30.00 32-26-30.0500N 105-47-14.2100W
ACREW,,BRO*C*258.00/15.57 HRL*LD*175.63/18.15 25-54-36.6100N 097-39-45.3300W
ACRON,GUAM,UNZ*C*274.00/100.00 13-37-25.5100N 143-01-52.1100E
ACROR,TEXAS,30-40-28.5600N 094-58-46.7600W
ACROT,NORTH CAROLINA,36-16-47.4900N 079-26-32.1300W
ACROW,VIRGINIA,38-03-51.9300N 077-10-28.9800W
ACRUZ,OFFSHORE GULF,24-00-00.0000N 084-34-41.4800W
ACTED,TEXAS,32-33-26.0000N 099-01-17.0200W
ACTIP,MISSOURI,39-14-01.7900N 094-44-06.4900W
ACTON,MAINE,46-02-33.8100N 067-46-51.6500W
